PathwayID,PathwayName,n,median_r,p,FDR
map05230,Central carbon metabolism in cancer,8,-0.19680379166423467,0.005854737509520206,0.031225266717441098
map00966,Glucosinolate biosynthesis,8,-0.19680379166423467,0.005854737509520206,0.031225266717441098
map04974,Protein digestion and absorption,8,-0.19680379166423467,0.005854737509520206,0.031225266717441098
map00970,Aminoacyl-tRNA biosynthesis,8,-0.19680379166423467,0.005854737509520206,0.031225266717441098
map01063,Biosynthesis of alkaloids derived from shikimate pathway,8,-0.19680379166423467,0.005854737509520206,0.031225266717441098
map00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",8,-0.19680379166423467,0.005854737509520206,0.031225266717441098
map00997,Biosynthesis of various other secondary metabolites,8,-0.19680379166423467,0.005854737509520206,0.031225266717441098
map01210,2-Oxocarboxylic acid metabolism,8,-0.19680379166423467,0.005854737509520206,0.031225266717441098
map01230,Biosynthesis of amino acids,8,-0.19680379166423467,0.005854737509520206,0.031225266717441098
map04978,Mineral absorption,5,-0.2630686555587567,0.007575087040968807,0.03636041779665027
map01060,Biosynthesis of plant secondary metabolites,13,-0.14086721252684223,0.024068357602199227,0.10502556044596027
map00999,Biosynthesis of various plant secondary metabolites,11,-0.14086721252684223,0.03643120588812043,0.13232884651329888
map00460,Cyanoamino acid metabolism,5,-0.16513594473764884,0.03782292310310321,0.13232884651329888
map01240,Biosynthesis of cofactors,6,-0.18466942555883137,0.042306159746482254,0.13232884651329888
map01070,Biosynthesis of plant hormones,10,-0.14544753691982387,0.045970241434872605,0.13232884651329888
map01110,Biosynthesis of secondary metabolites,18,-0.09090906396809137,0.061336920703646165,0.13232884651329888
map01100,Metabolic pathways,18,-0.09090906396809137,0.061336920703646165,0.13232884651329888
map01061,Biosynthesis of phenylpropanoids,10,-0.09090906396809137,0.06780911513922541,0.13232884651329888
map05143,African trypanosomiasis,3,-0.2630686555587567,0.0689212742256765,0.13232884651329888
map04726,Serotonergic synapse,3,-0.2630686555587567,0.0689212742256765,0.13232884651329888
map00380,Tryptophan metabolism,3,-0.2630686555587567,0.0689212742256765,0.13232884651329888
map00260,"Glycine, serine and threonine metabolism",3,-0.2630686555587567,0.0689212742256765,0.13232884651329888
map04361,Axon regeneration,3,-0.2630686555587567,0.0689212742256765,0.13232884651329888
map00901,Indole alkaloid biosynthesis,3,-0.2630686555587567,0.0689212742256765,0.13232884651329888
map00404,Staurosporine biosynthesis,3,-0.2630686555587567,0.0689212742256765,0.13232884651329888
map00996,Biosynthesis of various alkaloids,10,-0.10600995969821511,0.08891332023227608,0.16414766812112508
map00360,Phenylalanine metabolism,8,-0.13331317081442057,0.18051149248164788,0.3120662284088598
map00350,Tyrosine metabolism,4,-0.11821227508429683,0.20014347912035646,0.3120662284088598
map00950,Isoquinoline alkaloid biosynthesis,4,-0.11821227508429683,0.20014347912035646,0.3120662284088598
map00940,Phenylpropanoid biosynthesis,12,-0.09090906396809137,0.24995326400158446,0.3120662284088598
map05012,Parkinson disease,3,-0.14086721252684223,0.29256208913330606,0.3120662284088598
map05031,Amphetamine addiction,3,-0.14086721252684223,0.29256208913330606,0.3120662284088598
map04917,Prolactin signaling pathway,3,-0.14086721252684223,0.29256208913330606,0.3120662284088598
map04916,Melanogenesis,3,-0.14086721252684223,0.29256208913330606,0.3120662284088598
map04728,Dopaminergic synapse,3,-0.14086721252684223,0.29256208913330606,0.3120662284088598
map05034,Alcoholism,3,-0.14086721252684223,0.29256208913330606,0.3120662284088598
map05030,Cocaine addiction,3,-0.14086721252684223,0.29256208913330606,0.3120662284088598
map01059,Biosynthesis of enediyne antibiotics,3,-0.14086721252684223,0.29256208913330606,0.3120662284088598
map01055,Biosynthesis of vancomycin group antibiotics,3,-0.14086721252684223,0.29256208913330606,0.3120662284088598
map00998,Biosynthesis of various antibiotics,3,-0.14086721252684223,0.29256208913330606,0.3120662284088598
map00965,Betalain biosynthesis,3,-0.14086721252684223,0.29256208913330606,0.3120662284088598
map00730,Thiamine metabolism,3,-0.14086721252684223,0.29256208913330606,0.3120662284088598
map00680,Methane metabolism,3,-0.14086721252684223,0.29256208913330606,0.3120662284088598
map00401,Novobiocin biosynthesis,3,-0.14086721252684223,0.29256208913330606,0.3120662284088598
map00261,Monobactam biosynthesis,3,-0.14086721252684223,0.29256208913330606,0.3120662284088598
map00130,Ubiquinone and other terpenoid-quinone biosynthesis,7,-0.09555733764175144,0.5189989455510211,0.5415641170967177
map01120,Microbial metabolism in diverse environments,3,0.02222376772388806,0.6211252715833899,0.6343407028936748
map01220,Degradation of aromatic compounds,5,-0.08626079029443129,0.8059133198933004,0.8059133198933003
